Country_KR,Sector_Group,Project_Count_2019_2024,Share_2019_2024,Active_Years,Commitment_Raw,Disbursement_Raw,Top_Detail_Sectors
앙골라,교육,6,0.4286,4,5799411.0,1628063.94,운송 및 창고부문 교육(3); 교사훈련(3)
앙골라,보건의료,1,0.0714,1,0.4,0.4,보건정책 및 행정관리(1)
앙골라,긴급구호/취약성,1,0.0714,1,0.01,0.01,재난위험경감(1)
에리트레아,공공행정,1,1.0,1,0.0,0.0,공공정책 및 행정관리(1)
에스와티니,공공행정,11,0.6875,6,534916.03,528830.03,공공정책 및 행정관리(11)
에스와티니,교육,2,0.125,1,159112.0,159112.0,교육정책 및 행정관리(1); 교육시설 및 특별연수(1)
에스와티니,보건의료,2,0.125,2,75918.14,75918.14,보건정책 및 행정관리(2)
에스와티니,긴급구호/취약성,1,0.0625,1,0.03,0.03,사회보호/보장(1)
에콰도르,기술환경에너지,113,0.3373,6,33135725.82,8865657.22,정보통신기술(19); 기술연구개발(15); 에너지정책 및 행정관리(14); 도시개발 및 관리(13); 환경정책 및 행정관리(10)
에콰도르,공공행정,77,0.2299,6,3291740.18,3247961.2,공공정책 및 행정관리(31); 분권화 및 지방정부 지원(9); 통상정책 및 행정관리(8); 공공재정관리(6); 운송정책 및 행정관리(5)
에콰도르,교육,58,0.1731,6,2966432.26,2964087.26,"교육정책 및 행정관리(24); 전문대,대학(원) 교육(5); 취학전교육(5); 비정규 농업훈련(4); 고급기술 및 관리자 교육(3)"
에콰도르,기타,29,0.0866,6,2772127.97,2766142.97,비특정분야(12); 성평등 조직(기구) 및 제도(11); 책임감 있는 비즈니스(3); 석유 및 가스(1); 반부패기구 및 제도 지원(1)
에콰도르,농림수산,28,0.0836,6,603618.02,596715.02,농업 개발(9); 농촌개발(6); 농업정책 및 행정관리(6); 농수산물 가공업(3); 축산(2)
에콰도르,보건의료,23,0.0687,6,1593825.03,2597428.03,보건정책 및 행정관리(13); 의료서비스(6); 기초보건진료(4)
에콰도르,긴급구호/취약성,7,0.0209,5,926781.07,926781.07,사회보호/보장(5); COVID-19(2)
에티오피아,공공행정,76,0.2508,6,12318286.45,7643661.16,공공정책 및 행정관리(24); 금융정책 및 행정관리(12); 통신정책 및 행정관리(12); 통상정책 및 행정관리(9); 분권화 및 지방정부 지원(7)
