Country_KR,Country,Country_Code,Series_Code,Indicator_Name,Signal_KR,Latest_Year,Latest_Value,WDI_Coverage_2019_2025,Score_Direction,Need_Weight,Latest_Value_Display
탄자니아,Tanzania,TZA,SP.URB.TOTL.IN.ZS,Urban population,도시화,2025.0,36.8833115936643,7,context,0.0,36.9%
탄자니아,Tanzania,TZA,SP.POP.TOTL,Population,인구규모,2025.0,70545865.0,7,context,0.0,70.5M
탄자니아,Tanzania,TZA,EN.GHG.CO2.PC.CE.AR5,CO2 per capita,탄소배출,2024.0,0.311205530057348,6,context,0.0,0.31 tCO2e/cap
몽골,Mongolia,MNG,NY.GDP.PCAP.CD,GDP per capita,소득수준,2025.0,7108.22743246244,7,lower_is_higher_need,0.25,"$7,108"
몽골,Mongolia,MNG,SI.POV.DDAY,Poverty rate,빈곤,2022.0,0.4,1,higher_is_higher_need,0.15,0.4%
몽골,Mongolia,MNG,SP.DYN.LE00.IN,Life expectancy,보건·생활여건,2024.0,72.3980487804878,6,lower_is_higher_need,0.1,72.4 years
몽골,Mongolia,MNG,SE.SEC.ENRR,Secondary enrollment,교육,2023.0,96.8181201904352,5,lower_is_higher_need,0.15,96.8%
몽골,Mongolia,MNG,EG.ELC.ACCS.ZS,Access to electricity,전력접근,2023.0,100.0,5,lower_is_higher_need,0.15,100.0%
몽골,Mongolia,MNG,IT.NET.USER.ZS,Internet users,디지털접근,2024.0,85.12349701,6,lower_is_higher_need,0.15,85.1%
몽골,Mongolia,MNG,SL.UEM.TOTL.ZS,Unemployment,고용,2025.0,5.233,7,higher_is_higher_need,0.05,5.2%
몽골,Mongolia,MNG,SP.URB.TOTL.IN.ZS,Urban population,도시화,2025.0,71.1450719126123,7,context,0.0,71.1%
몽골,Mongolia,MNG,SP.POP.TOTL,Population,인구규모,2025.0,3568978.0,7,context,0.0,3.6M
몽골,Mongolia,MNG,EN.GHG.CO2.PC.CE.AR5,CO2 per capita,탄소배출,2024.0,7.84665630954259,6,context,0.0,7.85 tCO2e/cap
가나,Ghana,GHA,NY.GDP.PCAP.CD,GDP per capita,소득수준,2025.0,3257.1588903576,7,lower_is_higher_need,0.25,"$3,257"
가나,Ghana,GHA,SI.POV.DDAY,Poverty rate,빈곤,,,0,higher_is_higher_need,0.15,N/A
가나,Ghana,GHA,SP.DYN.LE00.IN,Life expectancy,보건·생활여건,2024.0,65.695,6,lower_is_higher_need,0.1,65.7 years
가나,Ghana,GHA,SE.SEC.ENRR,Secondary enrollment,교육,2024.0,75.7174682617188,5,lower_is_higher_need,0.15,75.7%
가나,Ghana,GHA,EG.ELC.ACCS.ZS,Access to electricity,전력접근,2023.0,89.5,5,lower_is_higher_need,0.15,89.5%
가나,Ghana,GHA,IT.NET.USER.ZS,Internet users,디지털접근,2024.0,72.17569733,6,lower_is_higher_need,0.15,72.2%
가나,Ghana,GHA,SL.UEM.TOTL.ZS,Unemployment,고용,2025.0,2.979,7,higher_is_higher_need,0.05,3.0%
