Rank_V21,Country_KR,WDI_Country_Name,WDI_Country_Code,Region_KR,K_ODA_Opportunity_Score_V21,Development_Need_Score,Korea_Coop_Base_Score_V2,Sector_Fit_Score_V2,Opportunity_Gap_Score_V2,Policy_Alignment_Score_V21,Risk_Feasibility_Score_V21,Data_Reliability_Score_V21,Policy_Alignment_Band_V21,Risk_Band_V21,Candidate_Type_V21,국가협력전략 대상국가,한국국제협력단 사무소 주재 여부,취약국가 지수,부패인식점수,전자정부지수,인간개발지수,기업여건,Project_Count_2019_2024,Project_Count_2024,Active_Years_2019_2024,Total_Disbursement_Raw,Top_Actionable_Sectors_2019_2024,Top_Detail_Sectors_2019_2024,Recommended_Service_Angle_V2,WDI_Core_Coverage_%,WDI_Core_Missing_Count,Policy_Risk_Data_Coverage_%,Score_Model_Status
27,동티모르,Timor-Leste,TLS,아시아 > 극동 아시아,50.28,53.82,23.5,95.06,52.06,25.22,42.44,92.56,낮음,높음/보완장치 필요,탐색 후보,N,Y,82.66311,38.0,0.4649,0.606,181.0,280,55,6,30348643.14,교육(72); 기술환경에너지(64); 공공행정(63),공공정책 및 행정관리(32); 교육정책 및 행정관리(16); 도시개발 및 관리(13); 보건정책 및 행정관리(12); 비특정분야(12),"교육, 기술환경에너지",85.7,1,100.0,V2.1_KOICA+WDI+PolicyAlignment+RiskFeasibility; CPS PDF RAG parsed separately in KODA_cps_pdf_chunks.csv
28,이집트,"Egypt, Arab Rep.",EGY,아프리카 > 사하라 이북,50.19,36.46,17.73,89.12,36.89,69.77,50.07,100.0,중간,중간/검증 필요,탐색 후보,Y,Y,86.00614,35.0,0.5527,0.707,114.0,216,31,6,20283336.25,공공행정(78); 교육(51); 기술환경에너지(29),"공공정책 및 행정관리(37); 교육정책 및 행정관리(14); 보건정책 및 행정관리(13); 비특정분야(12); 전문대,대학(원) 교육(11)","공공행정, 교육",100.0,0,100.0,V2.1_KOICA+WDI+PolicyAlignment+RiskFeasibility; CPS PDF RAG parsed separately in KODA_cps_pdf_chunks.csv
29,페루,Peru,PER,아메리카 > 남아메리카,48.86,21.62,22.12,95.51,19.02,72.91,68.67,100.0,중간,중간/검증 필요,탐색 후보,Y,Y,67.62811,36.0,0.7083,0.777,76.0,250,51,6,36553822.74,공공행정(83); 기술환경에너지(60); 교육(43),공공정책 및 행정관리(48); 정보통신기술(21); 비특정분야(15); 환경정책 및 행정관리(10); 교육정책 및 행정관리(9),"공공행정, 기술환경에너지",100.0,0,100.0,V2.1_KOICA+WDI+PolicyAlignment+RiskFeasibility; CPS PDF RAG parsed separately in KODA_cps_pdf_chunks.csv
30,콜롬비아,Colombia,COL,아메리카 > 남아메리카,48.6,25.38,18.83,93.6,24.13,69.72,65.81,100.0,중간,중간/검증 필요,탐색 후보,Y,Y,76.61419,37.0,0.7164,0.767,67.0,219,41,6,27598196.17,공공행정(63); 교육(47); 기술환경에너지(47),공공정책 및 행정관리(32); 도시개발 및 관리(12); 비특정분야(12); 성평등 조직(기구) 및 제도(10); 교육정책 및 행정관리(9),"공공행정, 교육",100.0,0,100.0,V2.1_KOICA+WDI+PolicyAlignment+RiskFeasibility; CPS PDF RAG parsed separately in KODA_cps_pdf_chunks.csv
31,코트디부아르,Cote d'Ivoire,CIV,아프리카 > 사하라 이남 > 서부아프리카,48.49,56.87,10.42,89.44,65.32,22.73,38.33,100.0,낮음,높음/보완장치 필요,탐색 후보,N,Y,89.72267,35.0,0.4457,0.538,110.0,114,21,6,19646385.99,공공행정(31); 교육(30); 기술환경에너지(22),"공공정책 및 행정관리(22); 비특정분야(12); 교육정책 및 행정관리(8); 통신정책 및 행정관리(6); 직업훈련(기초,중등수준)(5)","공공행정, 교육",100.0,0,100.0,V2.1_KOICA+WDI+PolicyAlignment+RiskFeasibility; CPS PDF RAG parsed separately in KODA_cps_pdf_chunks.csv
32,짐바브웨,Zimbabwe,ZWE,아프리카 > 사하라 이남 > 동부아프리카,46.79,65.75,7.11,92.93,79.08,0.92,23.21,92.56,낮음,높음/보완장치 필요,고수요: 파트너십 검증 후보,N,N,99.22086,24.0,0.5019,0.571,140.0,99,21,6,1290125.32,공공행정(35); 기술환경에너지(25); 농림수산(22),공공정책 및 행정관리(13); 식량생산(9); 에너지정책 및 행정관리(8); 정보통신기술(8); 농업 개발(6),"공공행정, 기술환경에너지",85.7,1,100.0,V2.1_KOICA+WDI+PolicyAlignment+RiskFeasibility; CPS PDF RAG parsed separately in KODA_cps_pdf_chunks.csv
33,타지키스탄,Tajikistan,TJK,아시아 > 서남 및 중앙아시아,45.42,42.08,6.05,86.28,49.84,45.57,39.24,100.0,낮음,높음/보완장치 필요,탐색 후보,Y,N,75.50515,25.0,0.4649,0.668,106.0,74,22,6,7140415.71,기술환경에너지(26); 공공행정(24); 농림수산(5),공공정책 및 행정관리(15); 비특정분야(6); 환경정책 및 행정관리(6); 전력송전/배전(중앙 그리드)(5); 수자원정책 및 행정관리(4),"기술환경에너지, 공공행정",100.0,0,100.0,V2.1_KOICA+WDI+PolicyAlignment+RiskFeasibility; CPS PDF RAG parsed separately in KODA_cps_pdf_chunks.csv
34,솔로몬제도,Solomon Islands,SLB,오세아니아 > 멜라네시아,44.35,60.55,5.08,83.59,74.19,0.67,38.83,85.13,낮음,높음/보완장치 필요,탐색 후보,N,N,79.74525,42.0,0.3442,0.567,136.0,65,3,6,4418203.04,기술환경에너지(25); 교육(14); 농림수산(8),기술연구개발(7); 환경연구(5); 어업 교육/훈련(3); 농촌개발(3); 공공정책 및 행정관리(3),"기술환경에너지, 교육",71.4,2,100.0,V2.1_KOICA+WDI+PolicyAlignment+RiskFeasibility; CPS PDF RAG parsed separately in KODA_cps_pdf_chunks.csv
35,에콰도르,Ecuador,ECU,아메리카 > 남아메리카,44.13,27.22,26.37,94.98,23.37,26.49,64.98,100.0,낮음,중간/검증 필요,탐색 후보,N,Y,69.40303,38.0,0.7015,0.759,129.0,335,52,6,21964772.77,기술환경에너지(113); 공공행정(77); 교육(58),공공정책 및 행정관리(31); 교육정책 및 행정관리(24); 정보통신기술(19); 기술연구개발(15); 에너지정책 및 행정관리(14),"기술환경에너지, 공공행정",100.0,0,100.0,V2.1_KOICA+WDI+PolicyAlignment+RiskFeasibility; CPS PDF RAG parsed separately in KODA_cps_pdf_chunks.csv
36,엘살바도르,El Salvador,SLV,아메리카 > 중앙 아메리카,43.65,38.03,11.05,89.64,42.09,23.64,57.31,100.0,낮음,중간/검증 필요,탐색 후보,N,Y,68.89464,34.0,0.5697,0.673,91.0,125,31,6,18460609.99,공공행정(48); 교육(30); 기술환경에너지(16),"공공정책 및 행정관리(26); 비특정분야(10); 치안제도 관리 및 개선(10); 운송정책 및 행정관리(7); 전문대,대학(원) 교육(7)","공공행정, 교육",100.0,0,100.0,V2.1_KOICA+WDI+PolicyAlignment+RiskFeasibility; CPS PDF RAG parsed separately in KODA_cps_pdf_chunks.csv
