Rank_V21,Country_KR,Partner_Country_KR_Target,Match_Method,Policy_Alignment_Score_V21,Policy_CPS_Target_Score,Policy_KOICA_Office_Score,Policy_KOICA_Support_Score,Policy_Sector_Alignment_Score,Risk_Feasibility_Score_V21,Risk_Fragility_Score,Risk_Corruption_Control_Score,Risk_Egov_Score,Risk_HDI_Score,Risk_Business_Environment_Score,Risk_Office_Presence_Score,Policy_Risk_Data_Coverage_%,국가협력전략 대상국가,한국국제협력단 사무소 주재 여부,취약국가 지수,취약국가 순위,부패인식점수,부패인식순위,전자정부지수,인간개발지수,기업여건,한국국제협력단 지원 규모_전체,한국국제협력단 지원 규모_공공행정,한국국제협력단 지원 규모_교육,한국국제협력단 지원 규모_기술환경에너지,한국국제협력단 지원 규모_농림수산,한국국제협력단 지원 규모_보건
11,콩고민주공화국(DR콩고),콩고민주공화국,auto/manual-key,26.88,0.0,100.0,18.856259659969087,20.267659929686175,6.02,0.0,0.0,0.0,6.7796610169491425,0.0,100.0,100.0,N,Y,109.3946,5.0,18.0,168.0,0.258,0.48,183.0,96500000.0,42800000.0,1659588.0,6979716.0,19900000.0,24000000.0
12,인도네시아,인도네시아,auto,85.42,100.0,100.0,53.190549790240674,62.23016233355361,67.48,60.0328735866684,57.89473684210527,80.70456365092073,74.01129943502823,67.90123456790124,100.0,100.0,Y,Y,67.8455,96.0,40.0,85.0,0.6612,0.718,73.0,252000000.0,43900000.0,59200000.0,78100000.0,22700000.0,11100000.0
13,모잠비크,모잠비크,auto,21.39,0.0,100.0,5.056303819827777,3.164785845684145,23.67,25.575410580289898,21.052631578947366,19.695756605284224,0.0,27.77777777777778,100.0,100.0,N,Y,91.69371,27.0,26.0,146.0,0.3564,0.456,138.0,34000000.0,7234370.0,16200000.0,6170756.0,2435885.0,1368359.0
14,세네갈,세네갈,auto,70.24,100.0,100.0,17.13402517111945,13.365800119135933,48.83,50.32460355049763,71.05263157894737,32.626100880704556,15.819209039548019,37.03703703703704,100.0,100.0,Y,Y,74.56465,71.0,45.0,66.0,0.421,0.512,123.0,88700000.0,5092620.0,32300000.0,6216334.0,23400000.0,19700000.0
15,몽골,몽골,auto,87.58,100.0,100.0,55.84014131154781,71.0062469122682,71.05,83.0211074665174,44.73684210526316,78.4027221777422,79.37853107344631,62.96296296296296,100.0,100.0,Y,Y,51.93521,129.0,35.0,106.0,0.6497,0.737,81.0,264000000.0,65500000.0,64900000.0,77700000.0,24800000.0,21700000.0
16,네팔,네팔,auto,74.12,100.0,100.0,34.42260984764849,19.775552108350624,45.2,38.7628596668313,42.10526315789473,42.41393114491592,41.24293785310733,54.93827160493827,100.0,100.0,Y,Y,82.5666,49.0,34.0,113.0,0.4699,0.602,94.0,167000000.0,29000000.0,44000000.0,16000000.0,23500000.0,48400000.0
17,나이지리아,나이지리아,auto,22.68,0.0,100.0,9.5606094060499,6.246655955946715,27.73,17.522017587484452,21.052631578947366,36.549239391513204,23.446327683615824,32.098765432098766,100.0,100.0,N,Y,97.26751,14.0,26.0,146.0,0.4406,0.539,131.0,54400000.0,14000000.0,23000000.0,3538279.0,6063964.0,7052742.0
18,파키스탄,파키스탄,auto,68.14,100.0,100.0,10.708765731949658,7.689434499793673,35.44,25.02003306430895,36.84210526315789,32.08566853482786,28.531073446327692,46.2962962962963,100.0,100.0,Y,Y,92.07809,25.0,32.0,120.0,0.4183,0.557,108.0,59600000.0,6319849.0,17600000.0,11500000.0,4245281.0,5470472.0
19,우즈베키스탄,우즈베키스탄,auto,76.76,100.0,100.0,32.87701479355266,34.15265174101623,55.82,52.435205715657915,18.421052631578945,81.76541232986388,74.57627118644066,70.37037037037037,100.0,100.0,Y,Y,73.10389,74.0,25.0,153.0,0.6665,0.72,69.0,160000000.0,30100000.0,68600000.0,23600000.0,9422101.0,25200000.0
20,방글라데시,방글라데시,auto,74.65,100.0,100.0,35.74740560830205,21.42619523709333,36.75,34.23551717092964,21.052631578947366,52.22177742193755,49.71751412429378,9.25925925925926,100.0,100.0,Y,Y,85.7,39.0,26.0,146.0,0.5189,0.632,168.0,173000000.0,28900000.0,47700000.0,18900000.0,16700000.0,50200000.0
21,스리랑카,스리랑카,auto,76.64,100.0,100.0,36.851402075513356,30.54265567405154,61.51,39.870493788666415,52.63157894736842,82.62610088070454,92.09039548022598,51.85185185185185,100.0,100.0,Y,Y,81.8,52.0,38.0,93.0,0.6708,0.782,99.0,178000000.0,25400000.0,63600000.0,31700000.0,20400000.0,20100000.0
22,케냐,케냐,auto,24.64,0.0,100.0,14.594833296533452,12.270584147295438,42.08,27.566204473362305,26.31578947368421,54.96397117694154,40.960451977401114,78.39506172839506,100.0,100.0,N,Y,90.31587,29.0,28.0,137.0,0.5326,0.601,56.0,77200000.0,7929097.0,19400000.0,18200000.0,6785925.0,17800000.0
23,카메룬,카메룬,auto,23.45,0.0,100.0,11.967321704570546,8.262193948012154,25.37,16.67305778971943,18.421052631578945,34.927942353883104,30.225988700564947,9.876543209876543,100.0,100.0,N,Y,97.85508,11.0,25.0,153.0,0.4325,0.563,167.0,65300000.0,16900000.0,15400000.0,4919308.0,4800465.0,14400000.0
24,키르기스스탄,키르기스스탄,auto,69.14,100.0,100.0,9.759328770147937,13.383128719580473,57.35,51.24251234421096,31.57894736842105,83.44675740592474,68.07909604519772,63.580246913580254,100.0,100.0,Y,Y,73.92936,73.0,30.0,126.0,0.6749,0.697,80.0,55300000.0,27600000.0,7829764.0,6046660.0,10900000.0,1509017.0
25,파라과이,파라과이,auto,73.0,100.0,100.0,26.03223669684257,20.48390642550131,57.58,63.88677858211852,26.31578947368421,78.20256204963971,76.83615819209038,35.80246913580247,100.0,100.0,Y,Y,65.17819,104.0,28.0,137.0,0.6487,0.728,125.0,129000000.0,26200000.0,32100000.0,27100000.0,7889151.0,33400000.0
26,볼리비아,볼리비아,auto,68.88,100.0,100.0,17.619783616692427,6.17505200907701,52.27,49.74344962865504,34.21052631578947,71.03682946357085,74.01129943502823,20.37037037037037,100.0,100.0,Y,Y,74.96687,70.0,31.0,123.0,0.6129,0.718,150.0,90900000.0,12800000.0,7261773.0,8049580.0,18000000.0,43400000.0
27,동티모르,동티모르,auto,25.22,0.0,100.0,16.97946566570987,13.346549448963465,42.44,38.62341566852929,52.63157894736842,41.41313050440351,42.37288135593219,1.2345679012345678,100.0,100.0,N,Y,82.66311,47.0,38.0,93.0,0.4649,0.606,181.0,88000000.0,10700000.0,26200000.0,9631951.0,11200000.0,28300000.0
28,이집트,이집트,auto,69.77,100.0,100.0,13.137557959814528,13.980803233472534,50.07,33.7931859550953,44.73684210526316,58.98718975180143,70.90395480225986,42.592592592592595,100.0,100.0,Y,Y,86.00614,35.0,35.0,106.0,0.5527,0.707,114.0,70600000.0,11400000.0,31100000.0,20800000.0,1346031.0,4816624.0
29,페루,페루,auto,72.91,100.0,100.0,26.915433870611615,19.366293689292696,68.67,60.34697296280424,47.368421052631575,90.13210568454764,90.6779661016949,66.0493827160494,100.0,100.0,Y,Y,67.62811,97.0,36.0,101.0,0.7083,0.777,76.0,133000000.0,26200000.0,31100000.0,17300000.0,3593014.0,51000000.0
30,콜롬비아,콜롬비아,auto,69.72,100.0,100.0,17.200264959152133,10.677577712336529,65.81,47.36329329995502,50.0,91.75340272217774,87.85310734463276,71.60493827160494,100.0,100.0,Y,Y,76.61419,65.0,37.0,96.0,0.7164,0.767,67.0,89000000.0,19300000.0,11100000.0,19100000.0,13600000.0,22200000.0
31,코트디부아르,코트디부아르,auto,22.73,0.0,100.0,8.765731949657761,7.095825646873148,38.33,28.423298865578072,44.73684210526316,37.57005604483586,23.16384180790961,45.06172839506173,100.0,100.0,N,Y,89.72267,32.0,35.0,106.0,0.4457,0.538,110.0,50800000.0,5492479.0,17700000.0,8525444.0,1278397.0,15500000.0
