Country_KR,Year,Project_Count,Commitment_Raw,Disbursement_Raw
미얀마,2020,78,40283373.0,15627893.0
미얀마,2021,44,39236395.0,3646321.0
미얀마,2022,30,453726.0,1959491.0
미얀마,2023,7,76142.0,198744.0
미얀마,2024,8,0.21,0.43
바누아투,2019,0,0.0,0.0
바누아투,2020,0,0.0,0.0
바누아투,2021,0,0.0,0.0
바누아투,2022,1,194885.0,194885.0
바누아투,2023,0,0.0,0.0
바누아투,2024,0,0.0,0.0
방글라데시,2019,57,1920119.0,11820339.0
방글라데시,2020,44,20975949.0,7742207.0
방글라데시,2021,45,3291783.0,8987028.0
방글라데시,2022,39,15830618.0,9554079.0
방글라데시,2023,53,11921118.0,7606574.0
방글라데시,2024,51,21.02,5.1
베냉,2019,1,5900.0,5900.0
베냉,2020,0,0.0,0.0
베냉,2021,1,1694.0,1694.0
베냉,2022,0,0.0,0.0
베냉,2023,1,488837.0,488837.0
베냉,2024,0,0.0,0.0
베네수엘라,2019,2,15546.0,14674.0
베네수엘라,2020,2,9996.0,10080.0
베네수엘라,2021,0,0.0,0.0
베네수엘라,2022,1,8924.0,8924.0
베네수엘라,2023,0,0.0,0.0
베네수엘라,2024,0,0.0,0.0
베트남,2019,140,28510514.0,30165958.0
베트남,2020,88,35996835.0,32194125.0
베트남,2021,74,78699114.0,24061968.0
베트남,2022,88,72236065.0,25907444.0
베트남,2023,81,28857567.0,25475620.0
베트남,2024,84,72.13,27.48
벨라루스,2019,2,37006.0,35389.0
벨라루스,2020,2,101246.0,101260.0
벨라루스,2021,1,6018.0,6363.0
벨라루스,2022,0,0.0,0.0
벨라루스,2023,0,0.0,0.0
벨라루스,2024,0,0.0,0.0
벨리즈,2019,1,10099.0,10099.0
벨리즈,2020,1,194725.0,194725.0
벨리즈,2021,0,0.0,0.0
벨리즈,2022,1,162912.0,162912.0
벨리즈,2023,5,1052915.0,555087.0
벨리즈,2024,5,0.06,0.56
보스니아헤르체고비나,2019,1,8390.0,8390.0
보스니아헤르체고비나,2020,1,4828.0,4828.0
보스니아헤르체고비나,2021,1,97926.0,97926.0
보스니아헤르체고비나,2022,0,0.0,0.0
보스니아헤르체고비나,2023,0,0.0,0.0
보스니아헤르체고비나,2024,0,0.0,0.0
보츠와나,2019,1,101516.0,101516.0
보츠와나,2020,0,0.0,0.0
보츠와나,2021,1,170575.0,170575.0
보츠와나,2022,1,96501.0,96501.0
보츠와나,2023,2,714857.0,686516.0
보츠와나,2024,4,0.04,0.07
볼리비아,2019,38,5589244.0,11517541.0
볼리비아,2020,25,2381845.0,7501747.0
볼리비아,2021,22,2195425.0,7877206.0
볼리비아,2022,35,10968589.0,6266164.0
볼리비아,2023,45,15286596.0,8147516.0
볼리비아,2024,45,39.84,7.23
부룬디,2019,4,54294.0,54294.0
부룬디,2020,4,286291.0,286999.0
부룬디,2021,7,129908.0,137349.0
부룬디,2022,15,343353.0,317097.0
부룬디,2023,18,1119612.0,940543.0
부룬디,2024,19,0.43,0.58
부르키나파소,2019,3,20371.0,20371.0
부르키나파소,2020,3,208316.0,208316.0
부르키나파소,2021,0,0.0,0.0
부르키나파소,2022,1,200335.0,200335.0
부르키나파소,2023,2,514835.0,514835.0
부르키나파소,2024,0,0.0,0.0
부탄,2019,15,680124.0,649216.0
부탄,2020,6,574366.0,574366.0
부탄,2021,3,385384.0,385384.0
부탄,2022,3,7065490.0,304207.0
부탄,2023,5,602497.0,328256.0
부탄,2024,4,0.25,2.16
북마케도니아,2019,1,6273.0,6273.0
북마케도니아,2020,1,5613.0,5613.0
북마케도니아,2021,1,5885.0,5885.0
북마케도니아,2022,0,0.0,0.0
북마케도니아,2023,0,0.0,0.0
북마케도니아,2024,1,0.44,0.44
브라질,2019,1,8390.0,8390.0
브라질,2020,0,0.0,0.0
브라질,2021,0,0.0,0.0
브라질,2022,1,192982.0,192982.0
브라질,2023,1,1022733.0,1022733.0
브라질,2024,2,0.35,0.35
사모아,2019,2,21728.0,21728.0
사모아,2020,1,41409.0,41409.0
사모아,2021,1,137987.0,137987.0
사모아,2022,2,451382.0,451382.0
사모아,2023,3,999404.0,376702.0
사모아,2024,4,0.03,0.62
상투메프린시페,2019,0,0.0,0.0
상투메프린시페,2020,0,0.0,0.0
상투메프린시페,2021,1,181207.0,181207.0
상투메프린시페,2022,1,170000.0,134605.0
상투메프린시페,2023,2,279361.0,328700.0
상투메프린시페,2024,1,0.3,0.24
서안지구 및 가자지구,2019,15,653773.0,5753165.0
서안지구 및 가자지구,2020,9,114854.0,2377438.0
서안지구 및 가자지구,2021,11,3255189.0,398524.0
서안지구 및 가자지구,2022,12,7151132.0,644543.0
서안지구 및 가자지구,2023,7,455684.0,1402077.0
서안지구 및 가자지구,2024,9,1.04,3.62
세네갈,2019,54,3674449.0,12941721.0
세네갈,2020,29,14667059.0,6355090.0
세네갈,2021,23,8379188.0,8059595.0
세네갈,2022,25,7287579.0,6942759.0
세네갈,2023,25,16325716.0,7797059.0
세네갈,2024,23,13.9,9.66
세르비아,2019,5,393457.0,389408.0
세르비아,2020,2,105688.0,105688.0
세르비아,2021,2,39007.0,39007.0
세르비아,2022,1,128464.0,128464.0
세르비아,2023,0,0.0,0.0
세르비아,2024,2,0.49,0.49
세인트루시아,2019,2,119773.0,119773.0
세인트루시아,2020,1,204158.0,204158.0
세인트루시아,2021,0,0.0,0.0
세인트루시아,2022,0,0.0,0.0
세인트루시아,2023,2,188502.0,121587.0
세인트루시아,2024,2,0.0,0.22
세인트빈센트그레나딘,2019,1,113276.0,113276.0
세인트빈센트그레나딘,2020,0,0.0,0.0
세인트빈센트그레나딘,2021,1,146232.0,146232.0
세인트빈센트그레나딘,2022,0,0.0,0.0
세인트빈센트그레나딘,2023,0,0.0,0.0
세인트빈센트그레나딘,2024,1,0.01,0.01
소말리아,2019,0,0.0,0.0
소말리아,2020,0,0.0,0.0
소말리아,2021,0,0.0,0.0
소말리아,2022,1,168237.0,168237.0
소말리아,2023,1,160000.0,118185.0
소말리아,2024,1,0.0,0.01
솔로몬제도,2019,29,1133144.0,2497684.0
솔로몬제도,2020,25,731903.0,732531.0
솔로몬제도,2021,3,127035.0,127503.0
솔로몬제도,2022,2,33005.0,32170.0
솔로몬제도,2023,3,1028315.0,1028315.0
솔로몬제도,2024,3,0.04,0.04
수단,2019,2,16471.0,16367.0
수단,2020,4,12039459.0,1181397.0
수단,2021,5,210285.0,2215732.0
수단,2022,3,0.0,2919829.0
수단,2023,2,0.0,644501.0
수단,2024,2,0.0,0.02
수리남,2019,0,0.0,0.0
수리남,2020,0,0.0,0.0
수리남,2021,0,0.0,0.0
수리남,2022,0,0.0,0.0
수리남,2023,3,1025167.0,1025167.0
수리남,2024,4,0.07,0.07
스리랑카,2019,63,9942397.0,11191909.0
스리랑카,2020,31,8030808.0,6426007.0
스리랑카,2021,41,15156354.0,7728614.0
스리랑카,2022,39,9792057.0,8224812.0
스리랑카,2023,60,2229904.0,9584055.0
스리랑카,2024,63,21.06,13.64
시리아,2019,0,0.0,0.0
시리아,2020,2,10441.0,10441.0
시리아,2021,1,5104.0,5104.0
시리아,2022,0,0.0,0.0
시리아,2023,0,0.0,0.0
시리아,2024,0,0.0,0.0
시에라리온,2019,1,6497.0,6497.0
시에라리온,2020,1,210231.0,210231.0
시에라리온,2021,0,0.0,0.0
시에라리온,2022,1,200168.0,200168.0
시에라리온,2023,6,381448.0,381448.0
시에라리온,2024,9,0.44,0.44
아르메니아,2019,2,31150.0,31150.0
아르메니아,2020,1,141845.0,141845.0
아르메니아,2021,1,193804.0,193804.0
아르메니아,2022,0,0.0,0.0
아르메니아,2023,0,0.0,0.0
아르메니아,2024,0,0.0,0.0
아르헨티나,2019,1,6273.0,6273.0
아르헨티나,2020,1,16839.0,16839.0
아르헨티나,2021,1,5885.0,5885.0
아르헨티나,2022,0,0.0,0.0
아르헨티나,2023,1,373696.0,373696.0
아르헨티나,2024,1,0.0,0.0
아메리카 지역 (미배분),2019,2,3555259.0,4765942.0
아메리카 지역 (미배분),2020,2,2419521.0,2495601.0
아메리카 지역 (미배분),2021,2,1723533.0,1835177.0
아메리카 지역 (미배분),2022,2,1570513.0,1645928.0
아메리카 지역 (미배분),2023,2,2853612.0,2906517.0
아메리카 지역 (미배분),2024,2,2.91,2.92
아시아 지역 (미배분),2019,1,11390457.0,11390457.0
아시아 지역 (미배분),2020,3,11175688.0,7656298.0
아시아 지역 (미배분),2021,1,0.0,831300.0
아시아 지역 (미배분),2022,2,4795631.0,6124924.0
아시아 지역 (미배분),2023,3,6896566.0,7387112.0
아시아 지역 (미배분),2024,2,9.59,10.03
아이티,2019,3,31206.0,30999.0
아이티,2020,1,28209.0,28445.0
아이티,2021,1,2132.0,2255.0
아이티,2022,2,201906.0,201071.0
아이티,2023,1,1450000.0,1040914.0
아이티,2024,1,0.1,0.42
아제르바이잔,2019,31,1173556.0,2274382.0
아제르바이잔,2020,18,538417.0,1765223.0
아제르바이잔,2021,27,3028249.0,2396088.0
아제르바이잔,2022,30,1172420.0,2145153.0
아제르바이잔,2023,25,1166497.0,2001822.0
아제르바이잔,2024,20,11.68,2.08
아프가니스탄,2019,36,1050736.0,1366589.0
아프가니스탄,2020,26,10303076.0,1601659.0
아프가니스탄,2021,20,473831.0,491935.0
아프가니스탄,2022,12,62851.0,54993.0
아프가니스탄,2023,7,52151.0,52151.0
아프가니스탄,2024,0,0.0,0.0
아프리카 지역 (미배분),2019,1,6843061.0,6843061.0
아프리카 지역 (미배분),2020,3,9424679.0,9424679.0
아프리카 지역 (미배분),2021,3,13771135.0,9094383.0
아프리카 지역 (미배분),2022,2,4788268.0,5295160.0
아프리카 지역 (미배분),2023,2,3681008.0,5530932.0
아프리카 지역 (미배분),2024,2,5.76,7.73
알바니아,2019,0,0.0,0.0
알바니아,2020,1,4828.0,4828.0
알바니아,2021,0,0.0,0.0
알바니아,2022,1,26328.0,26328.0
알바니아,2023,0,0.0,0.0
알바니아,2024,0,0.0,0.0
알제리,2019,25,7067106.0,2417005.0
알제리,2020,17,757398.0,692565.0
알제리,2021,18,8585767.0,1073170.0
알제리,2022,15,533060.0,1506096.0
알제리,2023,17,5783799.0,1994048.0
알제리,2024,17,0.25,3.2
앙골라,2019,1,12813.0,12813.0
앙골라,2020,1,172675.0,172675.0
앙골라,2021,2,226027.0,227795.0
앙골라,2022,3,5955059.0,669675.0
앙골라,2023,3,158971.0,1271238.0
앙골라,2024,4,0.41,2.36
에리트레아,2019,0,0.0,0.0
에리트레아,2020,0,0.0,0.0
에리트레아,2021,0,0.0,0.0
에리트레아,2022,0,0.0,0.0
에리트레아,2023,0,0.0,0.0
에리트레아,2024,1,0.0,0.0
에스와티니,2019,1,14806.0,14806.0
에스와티니,2020,1,102273.0,102273.0
에스와티니,2021,2,210817.0,165869.0
에스와티니,2022,2,136372.0,175234.0
에스와티니,2023,6,305678.0,305678.0
에스와티니,2024,4,0.21,0.21
에콰도르,2019,80,5800494.0,6882635.0
에콰도르,2020,59,15922516.0,3350969.0
에콰도르,2021,42,2643503.0,3734496.0
에콰도르,2022,51,10942620.0,4091542.0
에콰도르,2023,51,9981115.0,3905126.0
에콰도르,2024,52,2.35,4.77
에티오피아,2019,81,28118963.0,18922092.0
에티오피아,2020,65,29033001.0,19316861.0
에티오피아,2021,55,24867391.0,15685421.0
에티오피아,2022,44,12579219.0,14186429.0
에티오피아,2023,29,12167549.0,15308853.0
에티오피아,2024,29,13.45,11.4
엘살바도르,2019,20,12663017.0,2800447.0
엘살바도르,2020,19,943438.0,5065949.0
엘살바도르,2021,19,13356778.0,4835820.0
엘살바도르,2022,15,872932.0,2387195.0
엘살바도르,2023,21,6738284.0,3371193.0
엘살바도르,2024,31,7.63,5.99
예멘,2019,0,0.0,0.0
