Country_KR,Sector_Group,Year,Project_Count,Commitment_Raw,Disbursement_Raw
기니,긴급구호/취약성,2024,0,0.0,0.0
기니,기타,2019,0,0.0,0.0
기니,기타,2020,0,0.0,0.0
기니,기타,2021,0,0.0,0.0
기니,기타,2022,0,0.0,0.0
기니,기타,2023,0,0.0,0.0
기니,기타,2024,0,0.0,0.0
기니비사우,공공행정,2019,0,0.0,0.0
기니비사우,공공행정,2020,0,0.0,0.0
기니비사우,공공행정,2021,0,0.0,0.0
기니비사우,공공행정,2022,1,173066.0,173066.0
기니비사우,공공행정,2023,2,642497.0,642497.0
기니비사우,공공행정,2024,0,0.0,0.0
기니비사우,교육,2019,1,11249.0,11249.0
기니비사우,교육,2020,0,0.0,0.0
기니비사우,교육,2021,0,0.0,0.0
기니비사우,교육,2022,0,0.0,0.0
기니비사우,교육,2023,0,0.0,0.0
기니비사우,교육,2024,0,0.0,0.0
기니비사우,보건의료,2019,0,0.0,0.0
기니비사우,보건의료,2020,1,183980.0,183980.0
기니비사우,보건의료,2021,0,0.0,0.0
기니비사우,보건의료,2022,0,0.0,0.0
기니비사우,보건의료,2023,0,0.0,0.0
기니비사우,보건의료,2024,0,0.0,0.0
기니비사우,기술환경에너지,2019,0,0.0,0.0
기니비사우,기술환경에너지,2020,0,0.0,0.0
기니비사우,기술환경에너지,2021,0,0.0,0.0
기니비사우,기술환경에너지,2022,0,0.0,0.0
기니비사우,기술환경에너지,2023,0,0.0,0.0
기니비사우,기술환경에너지,2024,0,0.0,0.0
기니비사우,농림수산,2019,0,0.0,0.0
기니비사우,농림수산,2020,0,0.0,0.0
기니비사우,농림수산,2021,0,0.0,0.0
기니비사우,농림수산,2022,0,0.0,0.0
기니비사우,농림수산,2023,0,0.0,0.0
기니비사우,농림수산,2024,0,0.0,0.0
기니비사우,긴급구호/취약성,2019,0,0.0,0.0
기니비사우,긴급구호/취약성,2020,0,0.0,0.0
기니비사우,긴급구호/취약성,2021,0,0.0,0.0
기니비사우,긴급구호/취약성,2022,0,0.0,0.0
기니비사우,긴급구호/취약성,2023,0,0.0,0.0
기니비사우,긴급구호/취약성,2024,0,0.0,0.0
기니비사우,기타,2019,0,0.0,0.0
기니비사우,기타,2020,0,0.0,0.0
기니비사우,기타,2021,0,0.0,0.0
기니비사우,기타,2022,0,0.0,0.0
기니비사우,기타,2023,0,0.0,0.0
기니비사우,기타,2024,0,0.0,0.0
나미비아,공공행정,2019,3,66120.0,66120.0
나미비아,공공행정,2020,0,0.0,0.0
나미비아,공공행정,2021,1,67442.0,67442.0
나미비아,공공행정,2022,1,188922.0,188922.0
나미비아,공공행정,2023,1,125950.0,125950.0
나미비아,공공행정,2024,1,0.0,0.0
나미비아,교육,2019,0,0.0,0.0
나미비아,교육,2020,0,0.0,0.0
나미비아,교육,2021,0,0.0,0.0
나미비아,교육,2022,0,0.0,0.0
나미비아,교육,2023,0,0.0,0.0
나미비아,교육,2024,0,0.0,0.0
나미비아,보건의료,2019,0,0.0,0.0
나미비아,보건의료,2020,0,0.0,0.0
나미비아,보건의료,2021,0,0.0,0.0
나미비아,보건의료,2022,0,0.0,0.0
나미비아,보건의료,2023,0,0.0,0.0
나미비아,보건의료,2024,0,0.0,0.0
나미비아,기술환경에너지,2019,1,4493.0,4493.0
나미비아,기술환경에너지,2020,0,0.0,0.0
나미비아,기술환경에너지,2021,0,0.0,0.0
나미비아,기술환경에너지,2022,0,0.0,0.0
나미비아,기술환경에너지,2023,0,0.0,0.0
