Country_KR,WDI_Country_Code,Rebuilt_Opportunity_Score,Rebuilt_Rank,Stored_Opportunity_Score,Stored_Rank,Absolute_Error,Rank_Match,Raw_To_Component_Reproduced,Component_Lineage_Status
페루,PER,48.861000000000004,29,48.86,29,0.0010000000000047748,True,False,Development Need:PARTIAL;Korea Cooperation Base:PARTIAL;Sector Fit:PARTIAL;Opportunity Gap:UNRESOLVED;Policy Alignment:PARTIAL;Risk Feasibility:PARTIAL;Data Reliability:PARTIAL
콜롬비아,COL,48.603,30,48.6,30,0.0030000000000001137,True,False,Development Need:PARTIAL;Korea Cooperation Base:PARTIAL;Sector Fit:PARTIAL;Opportunity Gap:UNRESOLVED;Policy Alignment:PARTIAL;Risk Feasibility:PARTIAL;Data Reliability:PARTIAL
코트디부아르,CIV,48.492,31,48.49,31,0.001999999999995339,True,False,Development Need:PARTIAL;Korea Cooperation Base:PARTIAL;Sector Fit:PARTIAL;Opportunity Gap:UNRESOLVED;Policy Alignment:PARTIAL;Risk Feasibility:PARTIAL;Data Reliability:PARTIAL
짐바브웨,ZWE,46.794,32,46.79,32,0.003999999999997783,True,False,Development Need:PARTIAL;Korea Cooperation Base:PARTIAL;Sector Fit:PARTIAL;Opportunity Gap:UNRESOLVED;Policy Alignment:PARTIAL;Risk Feasibility:PARTIAL;Data Reliability:PARTIAL
타지키스탄,TJK,45.4155,33,45.42,33,0.0045000000000001705,True,False,Development Need:PARTIAL;Korea Cooperation Base:PARTIAL;Sector Fit:PARTIAL;Opportunity Gap:UNRESOLVED;Policy Alignment:PARTIAL;Risk Feasibility:PARTIAL;Data Reliability:PARTIAL
솔로몬제도,SLB,44.351000000000006,34,44.35,34,0.0010000000000047748,True,False,Development Need:PARTIAL;Korea Cooperation Base:PARTIAL;Sector Fit:PARTIAL;Opportunity Gap:UNRESOLVED;Policy Alignment:PARTIAL;Risk Feasibility:PARTIAL;Data Reliability:PARTIAL
에콰도르,ECU,44.1345,35,44.13,35,0.0045000000000001705,True,False,Development Need:PARTIAL;Korea Cooperation Base:PARTIAL;Sector Fit:PARTIAL;Opportunity Gap:UNRESOLVED;Policy Alignment:PARTIAL;Risk Feasibility:PARTIAL;Data Reliability:PARTIAL
엘살바도르,SLV,43.6495,36,43.65,36,0.000499999999995282,True,False,Development Need:PARTIAL;Korea Cooperation Base:PARTIAL;Sector Fit:PARTIAL;Opportunity Gap:UNRESOLVED;Policy Alignment:PARTIAL;Risk Feasibility:PARTIAL;Data Reliability:PARTIAL
모로코,MAR,43.207,37,43.21,37,0.0030000000000001137,True,False,Development Need:PARTIAL;Korea Cooperation Base:PARTIAL;Sector Fit:PARTIAL;Opportunity Gap:UNRESOLVED;Policy Alignment:PARTIAL;Risk Feasibility:PARTIAL;Data Reliability:PARTIAL
요르단,JOR,43.0555,38,43.06,38,0.0045000000000001705,True,False,Development Need:PARTIAL;Korea Cooperation Base:PARTIAL;Sector Fit:PARTIAL;Opportunity Gap:UNRESOLVED;Policy Alignment:PARTIAL;Risk Feasibility:PARTIAL;Data Reliability:PARTIAL
이라크,IRQ,42.8,39,42.8,39,0.0,True,False,Development Need:PARTIAL;Korea Cooperation Base:PARTIAL;Sector Fit:PARTIAL;Opportunity Gap:UNRESOLVED;Policy Alignment:PARTIAL;Risk Feasibility:PARTIAL;Data Reliability:PARTIAL
튀니지,TUN,42.699,40,42.7,40,0.0010000000000047748,True,False,Development Need:PARTIAL;Korea Cooperation Base:PARTIAL;Sector Fit:PARTIAL;Opportunity Gap:UNRESOLVED;Policy Alignment:PARTIAL;Risk Feasibility:PARTIAL;Data Reliability:PARTIAL
피지,FJI,42.583,41,42.58,41,0.0030000000000001137,True,False,Development Need:PARTIAL;Korea Cooperation Base:PARTIAL;Sector Fit:PARTIAL;Opportunity Gap:UNRESOLVED;Policy Alignment:PARTIAL;Risk Feasibility:PARTIAL;Data Reliability:PARTIAL
아제르바이잔,AZE,42.15,42,42.15,42,0.0,True,False,Development Need:PARTIAL;Korea Cooperation Base:PARTIAL;Sector Fit:PARTIAL;Opportunity Gap:UNRESOLVED;Policy Alignment:PARTIAL;Risk Feasibility:PARTIAL;Data Reliability:PARTIAL
서안지구 및 가자지구,PSE,41.709500000000006,43,41.71,43,0.000499999999995282,True,False,Development Need:PARTIAL;Korea Cooperation Base:PARTIAL;Sector Fit:PARTIAL;Opportunity Gap:UNRESOLVED;Policy Alignment:PARTIAL;Risk Feasibility:PARTIAL;Data Reliability:PARTIAL
우크라이나,UKR,41.54750000000001,44,41.55,44,0.002499999999990621,True,False,Development Need:PARTIAL;Korea Cooperation Base:PARTIAL;Sector Fit:PARTIAL;Opportunity Gap:UNRESOLVED;Policy Alignment:PARTIAL;Risk Feasibility:PARTIAL;Data Reliability:PARTIAL
과테말라,GTM,41.321,45,41.32,45,0.0009999999999976694,True,False,Development Need:PARTIAL;Korea Cooperation Base:PARTIAL;Sector Fit:PARTIAL;Opportunity Gap:UNRESOLVED;Policy Alignment:PARTIAL;Risk Feasibility:PARTIAL;Data Reliability:PARTIAL
온두라스,HND,40.482000000000006,46,40.48,46,0.0020000000000095497,True,False,Development Need:PARTIAL;Korea Cooperation Base:PARTIAL;Sector Fit:PARTIAL;Opportunity Gap:UNRESOLVED;Policy Alignment:PARTIAL;Risk Feasibility:PARTIAL;Data Reliability:PARTIAL
알제리,DZA,39.4935,47,39.49,47,0.0034999999999953957,True,False,Development Need:PARTIAL;Korea Cooperation Base:PARTIAL;Sector Fit:PARTIAL;Opportunity Gap:UNRESOLVED;Policy Alignment:PARTIAL;Risk Feasibility:PARTIAL;Data Reliability:PARTIAL
도미니카공화국,DOM,38.419000000000004,48,38.42,48,0.0009999999999976694,True,False,Development Need:PARTIAL;Korea Cooperation Base:PARTIAL;Sector Fit:PARTIAL;Opportunity Gap:UNRESOLVED;Policy Alignment:PARTIAL;Risk Feasibility:PARTIAL;Data Reliability:PARTIAL
태국,THA,35.1395,49,35.14,49,0.0005000000000023874,True,False,Development Need:PARTIAL;Korea Cooperation Base:PARTIAL;Sector Fit:PARTIAL;Opportunity Gap:UNRESOLVED;Policy Alignment:PARTIAL;Risk Feasibility:PARTIAL;Data Reliability:PARTIAL
코스타리카,CRI,28.2725,50,28.27,50,0.002500000000001279,True,False,Development Need:PARTIAL;Korea Cooperation Base:PARTIAL;Sector Fit:PARTIAL;Opportunity Gap:UNRESOLVED;Policy Alignment:PARTIAL;Risk Feasibility:PARTIAL;Data Reliability:PARTIAL
